1,Confirm engine running status
2,DM12: Emissions related active DTCs
3,DM1: Active DTCs
4,DM2: Previously active DTCs
5,DM23: Emission related previously active DTCs
6,DM5: Diagnostic readiness 1
7,DM31: DTC to lamp association
8,DM6: Emission related pending DTCs
9,DM27: All pending DTCs
10,DM25: Expanded freeze frame
11,DM20: Monitor performance ratio
12,DM7/DM30: Command Non-continuously Monitored Test/Scaled Test Results
13,DM3: Diagnostic data clear/reset for previously active DTCs
14,DM7/DM30: Command Non-continuously Monitored Test/Scaled Test Results
15,Part 4 to Part 5 Transition -- complete fault A's trip
