64722,Previously Active Service Only DTCs,DM54,,2.1,3041,Flash Protect Lamp,
64722,Previously Active Service Only DTCs,DM54,,2.3,3040,Flash Amber Warning Lamp (AWL),
64722,Previously Active Service Only DTCs,DM54,,2.5,3039,Flash Red Stop Lamp (RSL),
64722,Previously Active Service Only DTCs,DM54,,2.7,3038,Flash Malfunction Indicator Lamp,
64722,Previously Active Service Only DTCs,DM54,,3,1214,Suspect Parameter Number,
64722,Previously Active Service Only DTCs,DM54,,5,1215,Failure Mode Identifier,
64722,Previously Active Service Only DTCs,DM54,,6,1216,Occurrence Count,
64722,Previously Active Service Only DTCs,DM54,,6.8,1706,SPN Conversion Method,

64723,Diagnostic Data Clear/Reset for All Service Only DTCs,DM55,,,,,

64852,"DTCs - C, Previously Active",DM52,,1.1,987,Protect Lamp,
64852,"DTCs - C, Previously Active",DM52,,1.3,624,Amber Warning Lamp,
64852,"DTCs - C, Previously Active",DM52,,1.5,623,Red Stop Lamp,
64852,"DTCs - C, Previously Active",DM52,,1.7,1213,Malfunction Indicator Lamp,
64852,"DTCs - C, Previously Active",DM52,,2.1,3041,Flash Protect Lamp,
64852,"DTCs - C, Previously Active",DM52,,2.3,3040,Flash Amber Warning Lamp (AWL),
64852,"DTCs - C, Previously Active",DM52,,2.5,3039,Flash Red Stop Lamp (RSL),
64852,"DTCs - C, Previously Active",DM52,,2.7,3038,Flash Malfunction Indicator Lamp,
64852,"DTCs - C, Previously Active",DM52,,3,1214,Suspect Parameter Number,
64852,"DTCs - C, Previously Active",DM52,,5,1215,Failure Mode Identifier,
64852,"DTCs - C, Previously Active",DM52,,6,1216,Occurrence Count,
64852,"DTCs - C, Previously Active",DM52,,6.8,1706,SPN Conversion Method,

64853,"DTCs - C, Confirmed and Active",DM51,,1.1,987,Protect Lamp,
64853,"DTCs - C, Confirmed and Active",DM51,,1.3,624,Amber Warning Lamp,
64853,"DTCs - C, Confirmed and Active",DM51,,1.5,623,Red Stop Lamp,
64853,"DTCs - C, Confirmed and Active",DM51,,1.7,1213,Malfunction Indicator Lamp,
64853,"DTCs - C, Confirmed and Active",DM51,,2.1,3041,Flash Protect Lamp,
64853,"DTCs - C, Confirmed and Active",DM51,,2.3,3040,Flash Amber Warning Lamp (AWL),
64853,"DTCs - C, Confirmed and Active",DM51,,2.5,3039,Flash Red Stop Lamp (RSL),
64853,"DTCs - C, Confirmed and Active",DM51,,2.7,3038,Flash Malfunction Indicator Lamp,
64853,"DTCs - C, Confirmed and Active",DM51,,3,1214,Suspect Parameter Number,
64853,"DTCs - C, Confirmed and Active",DM51,,5,1215,Failure Mode Identifier,
64853,"DTCs - C, Confirmed and Active",DM51,,6,1216,Occurrence Count,
64853,"DTCs - C, Confirmed and Active",DM51,,6.8,1706,SPN Conversion Method,

64854,"DTCs - C, Pending",DM50,,1.1,987,Protect Lamp,
64854,"DTCs - C, Pending",DM50,,1.3,624,Amber Warning Lamp,
64854,"DTCs - C, Pending",DM50,,1.5,623,Red Stop Lamp,
64854,"DTCs - C, Pending",DM50,,1.7,1213,Malfunction Indicator Lamp,
64854,"DTCs - C, Pending",DM50,,2.1,3041,Flash Protect Lamp,
64854,"DTCs - C, Pending",DM50,,2.3,3040,Flash Amber Warning Lamp (AWL),
64854,"DTCs - C, Pending",DM50,,2.5,3039,Flash Red Stop Lamp (RSL),
64854,"DTCs - C, Pending",DM50,,2.7,3038,Flash Malfunction Indicator Lamp,
64854,"DTCs - C, Pending",DM50,,3,1214,Suspect Parameter Number,
64854,"DTCs - C, Pending",DM50,,5,1215,Failure Mode Identifier,
64854,"DTCs - C, Pending",DM50,,6,1216,Occurrence Count,
64854,"DTCs - C, Pending",DM50,,6.8,1706,SPN Conversion Method,

64855,"DTCs - B2, Previously Active",DM49,,1.1,987,Protect Lamp,
64855,"DTCs - B2, Previously Active",DM49,,1.3,624,Amber Warning Lamp,
64855,"DTCs - B2, Previously Active",DM49,,1.5,623,Red Stop Lamp,
64855,"DTCs - B2, Previously Active",DM49,,1.7,1213,Malfunction Indicator Lamp,
64855,"DTCs - B2, Previously Active",DM49,,2.1,3041,Flash Protect Lamp,
